iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
2.0,-0.9314731359481812,-573.3479725042804,-275.87008976936454,0.19603777296590694,16.376457005115526,-0.9314731359481812,2.549403953552246,1.568788394331932,-576.526225910321,0.0,6.74093837411857,-7.639321804046631,5.960145473480225,6.749669551849365,9.964074387071072,9.958403850376271,-130.63934534695457,0.0,16.884481654235007,-1.07729971408844,2.210688591003418,0.45138612389564514
3.0,-6.265734672546387,-517.7321934535972,-172.67545699808244,0.7803449655181643,16.63048225926027,-6.265734672546387,4.205523920059204,3.4583402678370474,-27.34940989878169,3.891482621102111,34.85974690115937,-15.196819305419922,7.4504008293151855,4.65142822265625,9.922762604721763,9.918126915971417,-118.17379622345696,0.9426789411643326,20.458535638677112,-3.059339761734009,5.145968914031982,3.17276668548584
4.0,-11.01129150390625,-523.4572099570362,-183.40498394718347,6.587556313514417,22.551770023941366,-11.01129150390625,6.411222139994304,4.213621873656908,-651.4253950063844,68.8490826850886,56.0476977195918,-30.054107666015625,12.226618766784668,3.3416106700897217,9.895203591093024,9.87140559751253,-25.893216176824797,0.9801888648295347,14.585757434757666,-7.302018642425537,5.601179599761963,2.4623076915740967
5.0,-13.739171028137207,-512.598964233535,-199.27511356435855,12.844951025634277,29.677061289393087,-13.739171028137207,7.685941457748413,4.599510511010886,-131.87591102620362,14.947056152314442,37.22515548182973,-22.810548782348633,13.906177520751953,15.779236793518066,9.876161272223074,9.813546560217798,-148.43349912092452,0.9407945259609451,13.151478580509345,-3.179776906967163,7.363729000091553,1.2726836204528809
6.0,-15.2042818069458,-584.4075186010919,-175.34238915270262,15.529734136779213,28.802459818134306,-15.2042818069458,8.510152769088744,5.700942294001579,-140.78256985459066,10.49523903546957,39.13162760084801,-27.42558479309082,2.013326406478882,13.993901252746582,9.855266899065517,9.77457805459986,-136.82102087676745,0.0,13.694770072311693,0.9972074627876282,-0.07951954007148743,0.953944742679596
7.0,-13.962031364440918,-558.3922095127886,-161.48902334473422,17.130601660951154,30.970367327583674,-13.962031364440918,8.081088337302209,5.808006562292576,-106.87730753850543,51.931088359639844,13.045135131481278,10.256970405578613,11.102412223815918,-4.19582462310791,9.80175898264418,9.750050221846037,-29.50523438043185,2.9210595419828667,3.9345114976029163,-2.4047458171844482,5.727662563323975,-2.0003292560577393
8.0,-12.658894538879395,-500.5713425714365,-145.89662119363098,17.541103580643757,30.034750593705336,-12.658894538879395,8.016372041191374,6.950129718014172,-69.03643448112855,17.22833077828247,41.89809381029365,7.19326639175415,3.2202930450439453,13.538525581359863,9.764545686681227,9.7181412153875,-148.27545700751548,0.9351638519212846,13.138327101928835,-5.132802486419678,6.466732501983643,3.3008410930633545
9.0,-10.605385780334473,-549.7685375741453,-134.70800806780716,17.23488486324812,29.10158823519485,-10.605385780334473,7.405452651530505,6.528194768354297,-60.102937454627465,8.81586320759285,30.756099369794427,28.270700454711914,1.8080393075942993,-4.054489612579346,9.713175928364555,9.684827912895507,-146.38349930571178,0.0,13.901844350314466,-9.290609359741211,5.33848237991333,-0.24339883029460907
10.0,-7.132351875305176,-549.3912389115437,-140.67732461135176,19.09863803086399,33.564784597432066,-7.132351875305176,6.256191200017929,4.842571217815081,-11.166973527316816,3.949530682802373,27.268274188638717,13.239388465881348,-1.1487555503845215,-11.576668739318848,9.664951460465753,9.613684881105291,-127.87907060882165,14.176626696305668,29.53044537617273,-12.96020793914795,5.309484958648682,0.08575230836868286
11.0,-3.2472643852233887,-561.673925741772,-139.62397480407634,21.345259472316023,36.38016280401921,-3.2472643852233887,5.048297404646873,2.894960725903511,-136.22407295313752,20.35067306320914,60.661281893362656,35.30259704589844,-6.515812397003174,-0.2420474737882614,9.62335407509362,9.51432731072577,-145.91696314250507,8.489895892664471,16.04001688532304,-10.145736694335938,6.123785495758057,-2.404350996017456
12.0,0.8577752709388733,-576.8389286779156,-131.77735772993043,21.690879759088396,35.10102919731014,0.8577752709388733,3.859911085800691,0.768458520824259,-46.649465773642675,11.693895599513652,23.144027893093515,69.9557876586914,-16.52372932434082,-24.464712142944336,9.574931742735185,9.420983753058565,-539.4934191710192,86.71365707753108,81.27487579284845,-12.481183052062988,1.6450353860855103,0.6338599920272827
13.0,5.405468940734863,-645.3375689671761,-128.02588722950966,23.841678081471834,34.46058200987831,5.405468940734863,2.3797149494290353,-0.669128991663456,-153.05094980633342,62.95955658492596,49.91007229528537,89.63973236083984,-14.771048545837402,-9.462251663208008,9.504726269578297,9.327483280529574,-26.202783753397426,5.848909177683507,7.8464962486670435,-15.234004020690918,-4.069629669189453,-0.5441670417785645
14.0,6.67531681060791,-601.5958963706566,-129.36011409592513,25.88514326664931,35.62308281063076,6.67531681060791,3.141688405091946,-0.9648857864049765,-140.51097898162683,22.640397742142174,52.263395179791694,-20.681549072265625,17.360919952392578,43.55134201049805,9.49260613617067,9.218399381894736,-320.3757745191293,14.284628560555522,75.90019949332728,-11.68697452545166,-4.504624843597412,3.8544883728027344
15.0,4.0622029304504395,-673.826643737378,-133.6801932176493,30.083476539996717,37.12123868830738,4.0622029304504395,3.614887223499162,1.1292648302657264,-95.93911534982487,55.97891412386649,22.11646177207763,-42.39432144165039,11.581974983215332,12.829754829406738,9.424278355269866,9.260564691343157,-100.58845604653261,4.724840132415757,36.76140174321533,-12.714800834655762,-0.3957556188106537,-7.826015949249268
16.0,1.270483374595642,-645.1447820109981,-132.16796404774084,31.34437188261806,35.72764716881953,1.270483374595642,4.0810045301914215,2.5698414345582328,-92.34220432255442,101.40736847750375,9.408181795931755,-31.888078689575195,17.338483810424805,24.38592529296875,9.371867122936754,9.259720596966801,-164.69965633157076,83.35919566762581,36.4685367229166,-22.641836166381836,9.519560813903809,-13.99433422088623
17.0,-1.8020203113555908,-662.4938473068031,-129.66381953799362,32.98469757125065,35.085109922310735,-1.8020203113555908,4.634779983386397,3.6404904175549744,-115.4400163805791,60.027940606972074,34.74574542358093,-37.584659576416016,16.39042091369629,8.620336532592773,9.32789702889746,9.261187521816424,-47.156320185754225,9.813189040713,20.29051399679629,-11.444035530090332,6.767980575561523,-14.343487739562988
18.0,-3.7064919471740723,-738.2571465866888,-126.44879777738785,32.66637053136655,34.183615404046556,-3.7064919471740723,5.127781424452277,4.417056177994784,-25.592658438902205,29.410925979475685,3.817244521795752,-39.32589340209961,10.44679069519043,35.89356994628906,9.30388009311139,9.224340390105416,-42.501433787661966,0.0,14.481537819813665,-12.62573528289795,1.308977723121643,-16.773664474487305
19.0,-8.219614028930664,-746.1915216256011,-122.29729008359193,33.75327441114245,33.10656254506084,-8.219614028930664,6.989458841416571,6.27561265528202,-63.581885550764326,6.80453040733089,13.26672043417274,-101.42900848388672,40.98041915893555,50.765316009521484,9.304994632390354,9.236363133310416,-111.56181379186813,22.548353548349723,53.71213433098868,-8.137478828430176,1.3654794692993164,-18.28598976135254
