iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
2.0,6.148661136627197,-574.5399553239504,-198.1867753728582,0.9244763240899999,14.042931089729445,6.148661136627197,6.882289762794971,5.676133691892028,-140.75793204722302,0.9342286880693633,13.112063586052079,10.269734382629395,12.21979808807373,12.74373722076416,9.969514664921242,9.962982068916636,-134.8524506497504,0.0,13.243908279465264,2.394774913787842,0.8382666707038879,1.3645581007003784
3.0,6.425106048583984,-584.576169644116,-165.98762484239143,0.6501060330924572,14.21169368156832,6.425106048583984,4.148929041624069,3.4076230419799685,-153.6947530179227,0.998001,18.619457899348593,15.05801010131836,1.6015316247940063,0.35395070910453796,9.925027444371498,9.918910075482357,-101.32163468214613,0.0,24.72728498336814,1.4825304746627808,-0.08765091747045517,1.2559328079223633
4.0,6.676574230194092,-569.3260919943367,-147.7454015120166,0.5654166130502738,15.375663136097678,6.676574230194092,3.9049627065658568,3.539063963169853,-23.490450456600467,0.9801888648295347,11.68609128093784,9.921900749206543,3.4011237621307373,4.371957302093506,9.879761311445243,9.87338172331725,-126.48704510723287,0.0,12.922694045301075,3.5963618755340576,2.5682566165924072,-0.21287555992603302
5.0,6.462437629699707,-574.2233519092224,-140.63167187065525,0.4723902128926595,15.73495434720103,6.462437629699707,3.7522922288626432,3.3337234503589572,-130.00775776067255,0.0,21.10419176407419,9.533533096313477,3.3523638248443604,3.174515962600708,9.835181814902072,9.827126631899771,-2.5386004956734625,0.0,0.0,4.74336576461792,1.9225209951400757,-0.30694302916526794
6.0,5.546809196472168,-592.8923824372823,-163.9243814309871,0.37791217031412755,15.587451973055595,5.546809196472168,3.62703645080328,2.845789700075984,-148.0896022302071,0.0,13.257165444910175,-0.44830286502838135,5.215179443359375,2.8287134170532227,9.79177020002498,9.774996883869964,-217.62097308094042,0.0,7.742500215588536,-0.10064613074064255,0.0935686007142067,-0.009326789528131485
