iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
2.0,6.148661136627197,-574.5399553239504,-198.1867753728582,0.9244763240899999,14.042931089729445,6.148661136627197,6.882289762794971,5.676133691892028,-140.75793204722302,0.9342286880693633,13.112063586052079,10.269734382629395,12.21979808807373,12.74373722076416,9.969514664921242,9.962982068916636,-134.8524506497504,0.0,13.243908279465264,2.394774913787842,0.8382666707038879,1.3645581007003784
3.0,6.425106048583984,-584.576169644116,-165.98762484239143,0.6501060330924572,14.21169368156832,6.425106048583984,4.148929041624069,3.4076230419799685,-153.6947530179227,0.998001,18.619457899348593,15.05801010131836,1.6015316247940063,0.35395070910453796,9.925027444371498,9.918910075482357,-101.32163468214613,0.0,24.72728498336814,1.4825304746627808,-0.08765091747045517,1.2559328079223633
4.0,6.676574230194092,-569.3260919943367,-147.7454015120166,0.5654166130502738,15.375663136097678,6.676574230194092,3.9049627065658568,3.539063963169853,-23.490450456600467,0.9801888648295347,11.68609128093784,9.921900749206543,3.4011237621307373,4.371957302093506,9.879761311445243,9.87338172331725,-126.48704510723287,0.0,12.922694045301075,3.5963618755340576,2.5682566165924072,-0.21287555992603302
5.0,6.462437629699707,-574.2233519092224,-140.63167187065525,0.4723902128926595,15.73495434720103,6.462437629699707,3.7522922288626432,3.3337234503589572,-130.00775776067255,0.0,21.10419176407419,9.533533096313477,3.3523638248443604,3.174515962600708,9.835181814902072,9.827126631899771,-2.5386004956734625,0.0,0.0,4.74336576461792,1.9225209951400757,-0.30694302916526794
6.0,5.546809196472168,-592.8923824372823,-163.9243814309871,0.37791217031412755,15.587451973055595,5.546809196472168,3.62703645080328,2.845789700075984,-148.0896022302071,0.0,13.257165444910175,-0.44830286502838135,5.215179443359375,2.8287134170532227,9.79177020002498,9.774996883869964,-217.62097308094042,0.0,7.742500215588536,-0.10064613074064255,0.0935686007142067,-0.009326789528131485
7.0,3.827444553375244,-591.6153939177314,-162.18717787838338,0.3472098444537572,16.372180663182757,3.827444553375244,4.382718875755867,3.091123585837583,-147.51519705540926,0.0,15.621867960993018,-14.129043579101562,16.55801773071289,18.87964630126953,9.75821439310982,9.718220090422738,-113.76937185658383,0.0,24.657626784931256,0.13024234771728516,-0.016394317150115967,0.06715112924575806
8.0,3.0648725032806396,-501.46193763842234,-162.46840066296284,0.29760843810322046,16.00592572188844,3.0648725032806396,4.796520133316517,3.1554629401969057,-338.85815308597677,0.0,11.121831116525849,-1.2769678831100464,8.990571022033691,7.094027042388916,9.726399901907964,9.67252877144249,-87.02938452345659,0.0,20.770772745096483,-0.606652021408081,1.2419638633728027,7.908010005950928
9.0,2.7094998359680176,-569.1150850238164,-171.525873743171,0.355815195191935,15.498535665696489,2.7094998359680176,5.233984155859798,3.252672763634473,-165.41534154458387,0.0,11.678721787001823,2.0317790508270264,14.147116661071777,7.994142055511475,9.692725269397314,9.622130287830839,-136.9522744322237,0.0,15.791085469438224,-1.2493207454681396,0.956859290599823,1.256043791770935
10.0,2.4874157905578613,-557.3489573717159,-165.57653206627097,0.3363665591698666,15.424112272134662,2.4874157905578613,4.853659489378333,3.0225775541530715,-38.919015507108824,0.0,6.769833000615041,2.765155553817749,5.4268574714660645,3.130974769592285,9.649147925210638,9.572164286242321,-67.00296205336274,0.9029834676116293,13.576669165799476,0.1681966334581375,1.9059392213821411,1.2325890064239502
11.0,2.563368320465088,-556.9338330950056,-168.31466905274178,0.3170199628355614,15.74150682802861,2.563368320465088,4.789618060551584,3.2093044956028463,-43.477502465370364,0.0,12.540185809619366,0.6309247612953186,6.421274185180664,9.964588165283203,9.604771170052947,9.525801578257058,-147.296070173987,0.0,16.477174533949274,3.9456264972686768,1.4120573997497559,1.2542179822921753
12.0,2.4370322227478027,-527.423361767437,-172.48643098335398,0.30432482417025697,15.853650768603806,2.4370322227478027,5.0258558272976765,3.3600188912315803,-150.0063790306519,0.0,17.822908796974087,-6.6260833740234375,13.684722900390625,13.825427055358887,9.565612396055803,9.478238170086911,-44.128799941426564,0.0,14.512974359373565,-4.980665683746338,1.489221453666687,4.991724491119385
13.0,1.02047860622406,-543.5842780136225,-173.80114758790893,0.34818484257911464,16.387899557940642,1.02047860622406,5.1424289941477275,3.4068895703802506,-137.33306714979042,0.0,24.57957710003057,-31.677888870239258,9.981054306030273,8.623197555541992,9.528966004662346,9.43153405836201,-110.30751104064173,0.0,12.249665961879503,1.4286595582962036,2.4452579021453857,1.5892701148986816
14.0,-0.36623436212539673,-566.9795281820868,-171.58695901705673,0.3358173468247523,16.572092958476333,-0.36623436212539673,5.055496841181929,3.507722426033937,-137.1271940787331,0.9370369888620198,14.985253027358416,-30.010042190551758,6.458477020263672,10.072896957397461,9.48499368693826,9.38665464694548,-66.22942833376419,0.0,9.590799591462146,2.6964595317840576,0.9590728282928467,0.4115790128707886
