iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
11.0,0.0,0.0,-37.58908596253374,4.765365410134105,112.02388725976105,0.0,0.0,0.0,6.1979346480397615,0.0,0.013282345352038375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,-33.94016757831928,5.423406173265858,102.69478526482054,0.0,0.0,0.0,6.1979346480397615,12.661854567715135,0.07466332047493167,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,-33.63684322254078,6.5434623515652826,97.63453352898438,0.0,0.0,0.0,-29.996950953198777,19.984136491158385,36.91151269895048,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,-30.791501946070746,7.049467570490864,90.6660640161629,0.0,0.0,0.0,6.1979346480397615,13.627535416523433,0.07596034948383243,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,-31.01978703482264,7.221384879171265,86.06210810436521,0.0,0.0,0.0,-34.215778277349195,9.628227200696868,21.606725339197386,0.0,0.0,0.0,0.30000000000000004,0.1,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,-32.23334477892879,6.91662467502486,85.68702136704606,0.0,0.0,0.0,-50.43671094052104,2.3452216128287855,80.06072030725883,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,-33.419869386794545,6.520515109954689,84.10981939267437,0.0,0.0,0.0,-52.4042631126466,0.1827620688319585,58.874587802727284,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,-34.05911059504277,6.21497587160692,82.23805118161349,0.0,0.0,0.0,-44.926211135262584,1.0208088196948393,50.41799159357857,0.0,0.0,0.0,0.6000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,-34.99422360067905,5.949467999091274,81.00617278226603,0.0,0.0,0.0,-51.826257702132075,1.1703262938096552,58.832361594011914,0.0,0.0,0.0,0.7000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,-35.80905651208539,5.661829382286895,78.77567952905643,0.0,0.0,0.0,-51.2908818288058,0.1966956630037,36.396307718073956,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,-36.21954132261276,5.395677643991988,77.71018305973692,0.0,0.0,0.0,-44.42923753316013,0.07264287809384597,56.400253673346725,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,-36.552564178508725,5.151636658017956,76.11336810349633,0.0,0.0,0.0,-43.54604415232388,0.026775952563274814,42.58025402244379,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,-36.62121129730492,5.297545668343538,74.24455627389635,0.0,0.0,0.0,-38.13144791082122,8.50754389550638,33.13069602269673,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,-36.241903043599564,5.9303734880795345,71.68849180970473,0.0,0.0,0.0,-27.5178132083766,20.48541334200743,12.899009133297676,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
